10/09/2020, 12:27:35|('127.0.0.1', 51856)|Dragris: Initial time set test
10/09/2020, 17:34:55|('127.0.0.1', 58107)|Dragris: Hello
10/09/2020, 17:35:01|('127.0.0.1', 58107)|Dragris: Welcome to this chat
10/09/2020, 18:37:13|('127.0.0.1', 58716)|David: Hola
10/09/2020, 18:39:24|('127.0.0.1', 58107)|Dragris: Hola
10/09/2020, 18:39:27|('127.0.0.1', 58107)|Dragris: Qué tal
10/11/2020, 16:28:14|('127.0.0.1', 54402)|Dra: dsdas
10/11/2020, 16:28:15|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:15|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:16|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:16|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:16|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:16|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:16|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:16|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:17|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:18|('127.0.0.1', 54402)|Dra: 
